,0PV-a.01_6mqr_H_L__A,0PV-a.01_6osy_H_L_2KB_AQG,0PV-a.04_6pds_H_L__G,0PV-b.01_6n16_H_L__F,0PV-b.01_6ot1_H_L_GPE_BDO,0PV-c.01_6mqc_H_L__C,0PV-c.01_6nf2_H_L_GAQ_BIR,0PV-d.01_xx01_H_L_ABC_DEF,13N024-a.01_6pdu_H_L__C,A12V163-a.01_6mqs_A_B__E,A12V163-a.02_6p60_G_H__I,DF1W-a.01_6mqm_A_B__C,DF2F-a.01_6pef_A_B__C,DF2F-b.04_6p7h_A_B__C,DF2F-e.01_6pec_H_L__A,vFP16.02_6wx2_H_L__F,vFP25.18_6pdr_H_L__A,vFP5.01_5tkk_H_L__A
0PV-a.01_6mqr_H_L__A,0.0,1.6368321180343628,0.7980730533599854,7.441016674041748,7.406809329986572,7.563920021057129,7.354900360107422,8.113563537597656,8.12707805633545,7.510529518127441,8.603970527648926,7.427627086639404,7.7533345222473145,7.3287177085876465,4.01678991317749,7.635354518890381,8.124982833862305,3.249994993209839
0PV-a.01_6osy_H_L_2KB_AQG,1.6368321180343628,0.0,1.3567036390304565,7.640596389770508,27.132387161254883,8.430143356323242,13.97154426574707,26.769472122192383,8.036211013793945,7.849287986755371,8.821491241455078,7.390161991119385,8.042608261108398,7.643016338348389,5.008152484893799,7.372203350067139,8.246216773986816,3.9040799140930176
0PV-a.04_6pds_H_L__G,0.7980730533599854,1.3567036390304565,0.0,7.722594738006592,7.642329216003418,6.197782039642334,6.278275012969971,7.554335117340088,7.900325775146484,7.51936674118042,7.63750696182251,7.268074035644531,7.307154655456543,7.671753406524658,3.120129108428955,7.490760803222656,8.103105545043945,2.228987693786621
0PV-b.01_6n16_H_L__F,7.441016674041748,7.640596389770508,7.722594738006592,0.0,1.7435702085494995,11.431622505187988,11.258729934692383,4.063028812408447,4.757419109344482,5.044321060180664,5.347721576690674,6.400358200073242,5.559502601623535,0.41179126501083374,7.637281894683838,8.257596969604492,6.796550273895264,8.347742080688477
0PV-b.01_6ot1_H_L_GPE_BDO,7.406809329986572,27.132387161254883,7.642329216003418,1.7435702085494995,0.0,10.638440132141113,20.294818878173828,3.7722346782684326,5.122776985168457,5.143328666687012,5.089607238769531,6.159068584442139,5.737405300140381,1.6258604526519775,7.35154914855957,8.110283851623535,6.417820930480957,7.877233028411865
0PV-c.01_6mqc_H_L__C,7.563920021057129,8.430143356323242,6.197782039642334,11.431622505187988,10.638440132141113,0.0,1.2967714071273804,12.11755657196045,12.09840202331543,10.058331489562988,12.09804916381836,11.197508811950684,13.277566909790039,10.866480827331543,5.743996620178223,10.991181373596191,11.221742630004883,5.844119071960449
0PV-c.01_6nf2_H_L_GAQ_BIR,7.354900360107422,13.97154426574707,6.278275012969971,11.258729934692383,20.294818878173828,1.2967714071273804,0.0,19.926321029663086,11.863985061645508,10.230445861816406,11.807801246643066,10.895796775817871,12.997665405273438,10.631138801574707,5.624984264373779,10.59725570678711,11.116896629333496,5.834494113922119
0PV-d.01_xx01_H_L_ABC_DEF,8.113563537597656,26.769472122192383,7.554335117340088,4.063028812408447,3.7722346782684326,12.11755657196045,19.926321029663086,0.0,5.980274677276611,5.85015869140625,5.786708354949951,7.5973663330078125,5.491689205169678,4.039781093597412,8.560295104980469,9.06617546081543,7.782016277313232,9.007854461669922
13N024-a.01_6pdu_H_L__C,8.12707805633545,8.036211013793945,7.900325775146484,4.757419109344482,5.122776985168457,12.09840202331543,11.863985061645508,5.980274677276611,0.0,4.303211688995361,6.108662128448486,7.430184364318848,6.6429948806762695,4.841897964477539,9.039454460144043,7.460591793060303,5.282154083251953,8.948034286499023
A12V163-a.01_6mqs_A_B__E,7.510529518127441,7.849287986755371,7.51936674118042,5.044321060180664,5.143328666687012,10.058331489562988,10.230445861816406,5.85015869140625,4.303211688995361,0.0,0.7003304362297058,8.15274429321289,5.434475898742676,4.9980034828186035,7.84426212310791,8.319207191467285,2.925434112548828,7.463921070098877
A12V163-a.02_6p60_G_H__I,8.603970527648926,8.821491241455078,7.63750696182251,5.347721576690674,5.089607238769531,12.09804916381836,11.807801246643066,5.786708354949951,6.108662128448486,0.7003304362297058,0.0,8.227568626403809,6.0841779708862305,5.285551071166992,8.466778755187988,10.172971725463867,5.524412155151367,9.153635025024414
