,0PV-a.01_6mqr_H_L__A,0PV-a.01_6osy_H_L_2KB_AQG,0PV-a.04_6pds_H_L__G,0PV-b.01_6n16_H_L__F,0PV-b.01_6ot1_H_L_GPE_BDO,0PV-c.01_6mqc_H_L__C,0PV-c.01_6nf2_H_L_GAQ_BIR,0PV-d.01_xx01_H_L_ABC_DEF,13N024-a.01_6pdu_H_L__C,A12V163-a.01_6mqs_A_B__E,A12V163-a.01_6n1v_H_L_CAB_DEF,A12V163-a.02_6p60_G_H__I,A12V163-b.01_6mpg_X_Y_C2V_DAU,DF1W-a.01_6mph_H_L_CAB_D6E,DF1W-a.01_6mqm_A_B__C,DF2F-a.01_6pef_A_B__C,DF2F-b.04_6p7h_A_B__C,DF2F-d.01_xx03_H_L_XZY_ACB,DF2F-e.01_6pec_H_L__A,DFPH-a.15_6n1w_H_L_C2c_DAd,vFP1.01_6cuf_H_L_C2d_DAc,vFP16.02_6cdi_H_L_C2d_DAc,vFP16.02_6wx2_H_L__F,vFP20.01_6cde_H_L_Cc2_Dd1,vFP25.18_6pdr_H_L__A,vFP5.01_5tkk_H_L__A,vFP7.04_6cue_H_L_Cc2_Dd1
0PV-a.01_6mqr_H_L__A,0.0,1.856998324394226,0.9161159992218018,7.553985118865967,7.842498302459717,8.302688598632812,8.273785591125488,8.417376518249512,8.64408016204834,8.000641822814941,9.7559814453125,8.802042961120605,10.836395263671875,6.7253923416137695,7.427627086639404,7.7533345222473145,7.3287177085876465,8.396269798278809,4.01678991317749,8.082195281982422,7.512477874755859,7.639370441436768,7.693387031555176,7.383944511413574,8.745219230651855,4.163778305053711,7.4267897605896
0PV-a.01_6osy_H_L_2KB_AQG,1.856998324394226,0.0,1.8954988718032837,8.14929485321045,27.980398178100586,9.089888572692871,15.108196258544922,27.65725326538086,9.109127044677734,8.878986358642578,26.34745979309082,9.58480453491211,27.20170021057129,9.746350288391113,7.390161991119385,8.042608261108398,7.986300945281982,24.18433952331543,5.008152484893799,18.05913543701172,22.812610626220703,20.289243698120117,7.372203350067139,22.493680953979492,9.512876510620117,5.492483615875244,21.573667526245117
0PV-a.04_6pds_H_L__G,0.9161159992218018,1.8954988718032837,0.0,7.949336528778076,7.645088195800781,7.2163920402526855,7.049752712249756,8.387311935424805,9.19669246673584,7.991497039794922,8.110419273376465,8.129889488220215,11.128968238830566,6.746622562408447,7.268074035644531,7.307154655456543,7.951714038848877,8.412982940673828,3.3294601440429688,7.40129280090332,7.075161457061768,7.291404724121094,7.61287784576416,7.244470119476318,9.105658531188965,3.8122265338897705,7.315388202667236
0PV-b.01_6n16_H_L__F,7.553985118865967,8.14929485321045,7.949336528778076,0.0,2.167553186416626,11.503360748291016,11.258729934692383,4.281103134155273,4.757419109344482,5.139369010925293,6.284823417663574,5.486350059509277,11.170060157775879,7.001902103424072,6.400358200073242,5.559502601623535,1.0923142433166504,6.374054908752441,7.661227703094482,11.39334774017334,7.246084690093994,7.450835227966309,8.361480712890625,7.075690269470215,6.939864635467529,8.347742080688477,7.7264723777771
0PV-b.01_6ot1_H_L_GPE_BDO,7.842498302459717,27.980398178100586,7.645088195800781,2.167553186416626,0.0,11.849634170532227,22.38614845275879,3.7722346782684326,5.731561660766602,5.143328666687012,6.255186080932617,5.089607238769531,8.723856925964355,30.591693878173828,6.333075046539307,5.737405300140381,2.65248703956604,12.188517570495605,7.772634983062744,20.689226150512695,8.32912540435791,9.105500221252441,9.187402725219727,8.36567497253418,7.287453651428223,8.586788177490234,9.057584762573242
0PV-c.01_6mqc_H_L__C,8.302688598632812,9.089888572692871,7.2163920402526855,11.503360748291016,11.849634170532227,0.0,1.3995840549468994,12.120665550231934,12.09840202331543,10.66340160369873,14.638443946838379,12.800662994384766,13.689573287963867,11.463356018066406,11.208423614501953,13.277566909790039,10.866480827331543,12.371551513671875,6.61934232711792,2.4887020587921143,12.43072509765625,12.23743724822998,11.751323699951172,12.294466018676758,11.7280855178833,6.334711074829102,11.889721870422363
0PV-c.01_6nf2_H_L_GAQ_BIR,8.273785591125488,15.108196258544922,7.049752712249756,11.258729934692383,22.38614845275879,1.3995840549468994,0.0,19.926321029663086,11.86462116241455,10.562155723571777,31.549718856811523,12.28380298614502,28.68948745727539,17.027719497680664,11.271930694580078,12.997665405273438,10.631138801574707,25.72109031677246,6.455276012420654,4.817355155944824,30.360754013061523,29.784013748168945,11.961922645568848,29.593416213989258,11.421256065368652,6.067408561706543,29.43262481689453
0PV-d.01_xx01_H_L_ABC_DEF,8.417376518249512,27.65725326538086,8.387311935424805,4.281103134155273,3.7722346782684326,12.120665550231934,19.926321029663086,0.0,6.154867649078369,6.138033866882324,8.855731964111328,5.8196821212768555,9.500775337219238,30.957530975341797,8.387547492980957,5.951663494110107,4.270242691040039,12.624786376953125,8.716313362121582,17.948665618896484,9.691244125366211,9.747320175170898,9.91244125366211,9.640746116638184,7.782016277313232,9.007854461669922,9.6712064743042
13N024-a.01_6pdu_H_L__C,8.64408016204834,9.109127044677734,9.19669246673584,4.757419109344482,5.731561660766602,12.09840202331543,11.86462116241455,6.154867649078369,0.0,4.958977222442627,7.11582612991333,6.108662128448486,10.722297668457031,7.4994215965271,8.390469551086426,6.6429948806762695,4.86895227432251,3.8306634426116943,9.039454460144043,11.956467628479004,7.378282070159912,7.702277183532715,8.170851707458496,7.263667106628418,5.282154083251953,8.985363006591797,7.441552639007568
A12V163-a.01_6mqs_A_B__E,8.000641822814941,8.878986358642578,7.991497039794922,5.139369010925293,5.143328666687012,10.66340160369873,10.562155723571777,6.138033866882324,4.958977222442627,0.0,3.0719432830810547,0.7025091052055359,11.919024467468262,8.145657539367676,8.15274429321289,5.49869441986084,5.4318528175354,3.6509149074554443,8.380851745605469,11.346868515014648,7.228323459625244,7.499762535095215,8.33874797821045,6.967283248901367,3.607232093811035,7.711262226104736,7.514864921569824
