,0PV-a.01_6mqr_H_L__A,0PV-a.01_6osy_H_L_2KB_AQG,0PV-a.04_6pds_H_L__G,0PV-b.01_6n16_H_L__F,0PV-b.01_6ot1_H_L_GPE_BDO,0PV-c.01_6mqc_H_L__C,0PV-c.01_6nf2_H_L_GAQ_BIR,0PV-d.01_xx01_H_L_ABC_DEF,13N024-a.01_6pdu_H_L__C,A12V163-a.01_6mqs_A_B__E,A12V163-a.02_6p60_G_H__I,DF1W-a.01_6mqm_A_B__C,DF2F-a.01_6pef_A_B__C,DF2F-b.04_6p7h_A_B__C,DF2F-e.01_6pec_H_L__A,vFP16.02_6wx2_H_L__F,vFP25.18_6pdr_H_L__A,vFP5.01_5tkk_H_L__A
0PV-a.01_6mqr_H_L__A,0.0,1.7598438262939453,0.7980730533599854,7.489628314971924,7.4283671379089355,7.84111213684082,7.8904194831848145,8.156781196594238,8.412002563476562,7.94551944732666,8.73480224609375,7.599049091339111,8.041549682617188,7.414069652557373,4.180870532989502,7.648275375366211,8.414299011230469,3.4418041706085205
0PV-a.01_6osy_H_L_2KB_AQG,1.7598438262939453,0.0,1.5956541299819946,7.861602783203125,27.35417366027832,8.790801048278809,14.664876937866211,26.769472122192383,8.529818534851074,8.61266040802002,9.17880916595459,7.716485500335693,8.154439926147461,7.853463172912598,5.112082004547119,7.675909042358398,8.91104793548584,4.506608009338379
0PV-a.04_6pds_H_L__G,0.7980730533599854,1.5956541299819946,0.0,7.865950584411621,7.642329216003418,6.586291313171387,6.868706703186035,7.91813850402832,8.244566917419434,7.955957412719727,8.1018648147583,7.444879055023193,7.618564128875732,7.909060955047607,3.188544273376465,7.490760803222656,8.367738723754883,2.7624728679656982
0PV-b.01_6n16_H_L__F,7.489628314971924,7.861602783203125,7.865950584411621,0.0,1.7435702085494995,11.55799674987793,11.543144226074219,4.063028812408447,4.944140434265137,5.146702289581299,5.432814121246338,6.401164531707764,5.638363361358643,0.9226476550102234,7.637281894683838,8.257596969604492,6.814656734466553,8.423259735107422
0PV-b.01_6ot1_H_L_GPE_BDO,7.4283671379089355,27.35417366027832,7.642329216003418,1.7435702085494995,0.0,10.949121475219727,21.371335983276367,4.477406978607178,5.149571418762207,5.301746845245361,5.460608005523682,6.159068584442139,6.208094596862793,1.6258604526519775,7.35154914855957,8.261094093322754,6.677690029144287,8.012430191040039
0PV-c.01_6mqc_H_L__C,7.84111213684082,8.790801048278809,6.586291313171387,11.55799674987793,10.949121475219727,0.0,1.2967714071273804,12.266566276550293,12.33898639678955,10.485540390014648,12.630258560180664,11.287351608276367,13.343544006347656,11.167165756225586,6.4424920082092285,11.350393295288086,11.540572166442871,5.970193862915039
0PV-c.01_6nf2_H_L_GAQ_BIR,7.8904194831848145,14.664876937866211,6.868706703186035,11.543144226074219,21.371335983276367,1.2967714071273804,0.0,20.68849754333496,12.238298416137695,10.685603141784668,12.52202033996582,11.23058032989502,13.317869186401367,11.085856437683105,6.435158729553223,11.195732116699219,11.629276275634766,6.174044609069824
0PV-d.01_xx01_H_L_ABC_DEF,8.156781196594238,26.769472122192383,7.91813850402832,4.063028812408447,4.477406978607178,12.266566276550293,20.68849754333496,0.0,6.031447887420654,5.903880596160889,5.786708354949951,7.659411907196045,5.491689205169678,4.116508960723877,8.560295104980469,9.06617546081543,7.877193927764893,9.250969886779785
13N024-a.01_6pdu_H_L__C,8.412002563476562,8.529818534851074,8.244566917419434,4.944140434265137,5.149571418762207,12.33898639678955,12.238298416137695,6.031447887420654,0.0,4.303211688995361,6.159659385681152,7.638428211212158,6.749462604522705,5.013982772827148,9.076916694641113,7.54827880859375,5.571258544921875,9.07308578491211
A12V163-a.01_6mqs_A_B__E,7.94551944732666,8.61266040802002,7.955957412719727,5.146702289581299,5.301746845245361,10.485540390014648,10.685603141784668,5.903880596160889,4.303211688995361,0.0,0.7003304362297058,8.281177520751953,5.434475898742676,5.258570671081543,8.06458568572998,8.319207191467285,2.925434112548828,7.757808208465576
