,0PV-a.01_6mqr_H_L__A,0PV-a.01_6osy_H_L_2KB_AQG,0PV-a.04_6pds_H_L__G,0PV-b.01_6n16_H_L__F,0PV-b.01_6ot1_H_L_GPE_BDO,0PV-c.01_6mqc_H_L__C,0PV-c.01_6nf2_H_L_GAQ_BIR,0PV-d.01_xx01_H_L_ABC_DEF,13N024-a.01_6pdu_H_L__C,A12V163-a.01_6mqs_A_B__E,A12V163-a.02_6p60_G_H__I,DF1W-a.01_6mqm_A_B__C,DF2F-a.01_6pef_A_B__C,DF2F-b.04_6p7h_A_B__C,DF2F-e.01_6pec_H_L__A,vFP16.02_6wx2_H_L__F,vFP25.18_6pdr_H_L__A,vFP5.01_5tkk_H_L__A
0PV-a.01_6mqr_H_L__A,0.0,1.6368321180343628,0.8058790564537048,7.441016674041748,7.406809329986572,7.563920021057129,7.354900360107422,8.113563537597656,8.12707805633545,7.510529518127441,8.603970527648926,7.575392723083496,8.723610877990723,7.453787326812744,4.465865612030029,7.635354518890381,8.124982833862305,3.249994993209839
0PV-a.01_6osy_H_L_2KB_AQG,1.6368321180343628,0.0,1.3567036390304565,7.640596389770508,27.132387161254883,8.430143356323242,13.97154426574707,27.028778076171875,8.036211013793945,7.849287986755371,8.821491241455078,7.468519687652588,8.265976905822754,7.643016338348389,5.294516563415527,7.445507049560547,8.246216773986816,3.9040799140930176
0PV-a.04_6pds_H_L__G,0.8058790564537048,1.3567036390304565,0.0,7.722594738006592,7.759109020233154,6.197782039642334,6.278275012969971,7.554335117340088,7.900325775146484,7.51936674118042,7.63750696182251,7.657082557678223,7.903497219085693,7.671753406524658,3.120129108428955,7.567177772521973,8.103105545043945,2.228987693786621
0PV-b.01_6n16_H_L__F,7.441016674041748,7.640596389770508,7.722594738006592,0.0,2.493408203125,11.431622505187988,11.26235294342041,4.068846225738525,4.943183422088623,5.044321060180664,5.347721576690674,6.463840961456299,6.364826679229736,0.41179126501083374,7.858866214752197,8.526243209838867,6.796550273895264,8.358840942382812
0PV-b.01_6ot1_H_L_GPE_BDO,7.406809329986572,27.132387161254883,7.759109020233154,2.493408203125,0.0,10.638440132141113,20.294818878173828,6.4448933601379395,5.122776985168457,5.3691229820251465,5.80471658706665,6.334125995635986,7.206634521484375,2.325343370437622,7.452642917633057,8.110283851623535,6.417820930480957,7.877233028411865
0PV-c.01_6mqc_H_L__C,7.563920021057129,8.430143356323242,6.197782039642334,11.431622505187988,10.638440132141113,0.0,1.3720993995666504,12.11755657196045,12.199230194091797,10.058331489562988,12.09804916381836,11.197508811950684,13.967386245727539,11.402586936950684,5.743996620178223,10.991181373596191,11.221742630004883,5.844119071960449
0PV-c.01_6nf2_H_L_GAQ_BIR,7.354900360107422,13.97154426574707,6.278275012969971,11.26235294342041,20.294818878173828,1.3720993995666504,0.0,20.46697998046875,11.863985061645508,10.230445861816406,11.807801246643066,10.895796775817871,13.731727600097656,11.129229545593262,5.624984264373779,10.59725570678711,11.116896629333496,5.834494113922119
0PV-d.01_xx01_H_L_ABC_DEF,8.113563537597656,27.028778076171875,7.554335117340088,4.068846225738525,6.4448933601379395,12.11755657196045,20.46697998046875,0.0,5.980274677276611,5.85015869140625,5.787802219390869,7.5973663330078125,6.089980125427246,4.039781093597412,8.829651832580566,9.347421646118164,7.970180511474609,9.21995735168457
13N024-a.01_6pdu_H_L__C,8.12707805633545,8.036211013793945,7.900325775146484,4.943183422088623,5.122776985168457,12.199230194091797,11.863985061645508,5.980274677276611,0.0,4.338054656982422,6.484903335571289,7.430184364318848,7.4068474769592285,4.841897964477539,9.221295356750488,7.460591793060303,5.620790481567383,8.948034286499023
A12V163-a.01_6mqs_A_B__E,7.510529518127441,7.849287986755371,7.51936674118042,5.044321060180664,5.3691229820251465,10.058331489562988,10.230445861816406,5.85015869140625,4.338054656982422,0.0,0.7530912160873413,8.506735801696777,6.155505657196045,4.9980034828186035,7.84426212310791,8.449034690856934,2.9567689895629883,7.463921070098877
A12V163-a.02_6p60_G_H__I,8.603970527648926,8.821491241455078,7.63750696182251,5.347721576690674,5.80471658706665,12.09804916381836,11.807801246643066,5.787802219390869,6.484903335571289,0.7530912160873413,0.0,8.430986404418945,6.728471755981445,5.285551071166992,8.466778755187988,10.37406063079834,5.902039527893066,9.153635025024414
DF1W-a.01_6mqm_A_B__C,7.575392723083496,7.468519687652588,7.657082557678223,6.463840961456299,6.334125995635986,11.197508811950684,10.895796775817871,7.5973663330078125,7.430184364318848,8.506735801696777,8.430986404418945,0.0,7.363595485687256,6.641716003417969,8.622888565063477,6.253937244415283,9.467615127563477,8.823243141174316
DF2F-a.01_6pef_A_B__C,8.723610877990723,8.265976905822754,7.903497219085693,6.364826679229736,7.206634521484375,13.967386245727539,13.731727600097656,6.089980125427246,7.4068474769592285,6.155505657196045,6.728471755981445,7.363595485687256,0.0,6.330634117126465,10.109724044799805,9.761022567749023,7.727653503417969,10.093445777893066
DF2F-b.04_6p7h_A_B__C,7.453787326812744,7.643016338348389,7.671753406524658,0.41179126501083374,2.325343370437622,11.402586936950684,11.129229545593262,4.039781093597412,4.841897964477539,4.9980034828186035,5.285551071166992,6.641716003417969,6.330634117126465,0.0,7.808655261993408,8.470026969909668,6.683286666870117,8.323172569274902
DF2F-e.01_6pec_H_L__A,4.465865612030029,5.294516563415527,3.120129108428955,7.858866214752197,7.452642917633057,5.743996620178223,5.624984264373779,8.829651832580566,9.221295356750488,7.84426212310791,8.466778755187988,8.622888565063477,10.109724044799805,7.808655261993408,0.0,9.986735343933105,8.70510196685791,3.6049387454986572
vFP16.02_6wx2_H_L__F,7.635354518890381,7.445507049560547,7.567177772521973,8.526243209838867,8.110283851623535,10.991181373596191,10.59725570678711,9.347421646118164,7.460591793060303,8.449034690856934,10.37406063079834,6.253937244415283,9.761022567749023,8.470026969909668,9.986735343933105,0.0,9.013115882873535,8.961085319519043
vFP25.18_6pdr_H_L__A,8.124982833862305,8.246216773986816,8.103105545043945,6.796550273895264,6.417820930480957,11.221742630004883,11.116896629333496,7.970180511474609,5.620790481567383,2.9567689895629883,5.902039527893066,9.467615127563477,7.727653503417969,6.683286666870117,8.70510196685791,9.013115882873535,0.0,7.689439296722412
vFP5.01_5tkk_H_L__A,3.249994993209839,3.9040799140930176,2.228987693786621,8.358840942382812,7.877233028411865,5.844119071960449,5.834494113922119,9.21995735168457,8.948034286499023,7.463921070098877,9.153635025024414,8.823243141174316,10.093445777893066,8.323172569274902,3.6049387454986572,8.961085319519043,7.689439296722412,0.0
